samian_id,samian_label,samian_alt_labels,samian_lat,samian_lon,samian_earliest_year,samian_latest_year,samian_q_interval,samian_unc_start_years,samian_unc_end_years,pleiades_id,pleiades_uri,pleiades_label,pleiades_alt_labels,pleiades_lat,pleiades_lon,pleiades_earliest_year,pleiades_latest_year,pleiades_location_precision,pleiades_max_accuracy_m,distance_km,distance_eff_km,geo_score,geo_factor,string_score,string_mode,time_score,w_geo,w_str,w_time,geo_contrib,string_contrib,time_contrib,final_score,geo_rel,string_rel,time_rel,rank,confidence,samian_q_start,samian_q_end,samian_unc_interval_years
119,Heidelberg,,49.416671,8.699999,76,102,0.253,24,26,118731,https://pleiades.stoa.org/places/118731,Roman Heidelberg,Heidelberg,49.413509,8.681124,-30.0,300.0,precise,10.0,1.4099717557157647,1.3999717557157647,0.9323951366466814,0.9323951366466814,0.97,label-alt,0.253,0.25,0.65,0.1,0.23309878416167035,0.6305,0.025300000000000003,0.8888987841616703,0.26223321295405777,0.7093046038921417,0.028462183153800457,1,high,,,
12,Bad Wimpfen,Vicus Alisinensium,49.227218,9.159722,143,177,0.371,22,26,119024,https://pleiades.stoa.org/places/119024,Vicus Alisinensium,Vicus Alisinensium,49.231140499999995,9.168957500000001,-30.0,300.0,precise,10.0,0.7999883715512484,0.7899883715512483,0.9612705128946806,0.9612705128946806,0.97,alt-label,0.371,0.25,0.65,0.1,0.24031762822367014,0.6305,0.0371,0.9079176282236702,0.2646910036253494,0.6944462585593426,0.04086273781530787,1,high,,,
120,Heidenheim,,48.676111,10.154444,118,154,0.173,41,47,118569,https://pleiades.stoa.org/places/118569,Aquileia,Aquileia|Aqvileia,48.678383,10.151322,-30.0,640.0,precise,10.0,0.3411277082728698,0.3311277082728698,0.983579918266545,0.34425297139329075,0.15,label-label,0.173,0.25,0.65,0.1,0.08606324284832269,0.0975,0.0173,0.20086324284832272,0.42846685948066354,0.4854048885072761,0.08612825201206026,1,low,,,
121,Heilbronn-Böckingen,,49.133888,9.188611,76,109,0.589,9,14,118734,https://pleiades.stoa.org/places/118734,Heilbronn,,49.1441116,9.2107124,-30.0,300.0,precise,10.0,1.9691068400420544,1.9591068400420544,0.9066893937828534,0.7706859847154255,0.65,label-label,0.589,0.25,0.65,0.1,0.19267149617885637,0.42250000000000004,0.0589,0.6740714961788563,0.2858324336083979,0.6267881113428583,0.08737945504874402,1,medium,,,
122,Heldenbergen,,50.233333,8.866666,72,102,0.41,19,19,118873,https://pleiades.stoa.org/places/118873,Nidderau,,50.23681,8.870497,-30.0,300.0,precise,10.0,0.47299457169847337,0.46299457169847336,0.9771161705983884,0.34199065970943593,0.15,label-label,0.41,0.25,0.65,0.1,0.08549766492735898,0.0975,0.041,0.22399766492735898,0.3816899830410524,0.4352723946100895,0.18303762234885815,1,low,,,
123,Helsoven,,50.816667,5.266667,130,160,0.568,13,11,108806,https://pleiades.stoa.org/places/108806,Bergilers,,50.715456,5.328087,-30.0,640.0,precise,10.0,12.054688765350498,12.044688765350498,0.5475867193827004,0.19165535178394513,0.15,label-label,0.568,0.25,0.65,0.1,0.04791383794598628,0.0975,0.056799999999999996,0.20221383794598627,0.23694638523593348,0.4821628479552592,0.28089076680880737,1,low,,,
124,Heronbridge,,53.160568,-2.882517,75,100,0.5,0,0,79509,https://pleiades.stoa.org/places/79509,Heronbridge,,53.16896410037127,-2.8833185879432355,-30.0,640.0,precise,100.0,0.9351330653252752,0.8351330653252752,0.9591031467949677,0.9591031467949677,1.0,label-label,0.5,0.25,0.65,0.1,0.23977578669874192,0.65,0.05,0.939775786698742,0.25514148171558004,0.6916543384069613,0.05320417987745857,1,high,,,
125,Hesselbach,,49.575828,9.088055,145,170,0.5,0,0,118741,https://pleiades.stoa.org/places/118741,Hesselbach,,49.575377,9.0900895,-30.0,300.0,precise,10.0,0.15503030001182805,0.14503030001182804,0.9927747137965119,0.9927747137965119,1.0,label-label,0.5,0.25,0.65,0.1,0.24819367844912799,0.65,0.05,0.948193678449128,0.2617542007399535,0.6855139564557574,0.05273184280428903,1,high,,,
126,Hod Hill,,50.900001,-2.2,29,64,0.687,9,10,42178780,https://pleiades.stoa.org/places/42178780,Hod Hill,Hod Hill,50.895753275201464,-2.2065415396585237,43.0,410.0,precise,20.0,0.6584515743327715,0.6384515743327714,0.968581568004442,0.968581568004442,1.0,label-label,0.3943888888888889,0.25,0.65,0.1,0.2421453920011105,0.65,0.03943888888888889,0.9315842808899994,0.25992859365314125,0.6977361182812308,0.04233528806562784,1,high,,,
127,Hofheim,,50.083332,8.449999,53,80,0.426,16,17,109047,https://pleiades.stoa.org/places/109047,Hofheim,,50.080772,8.450889,-30.0,300.0,precise,4.2,0.2916568698762868,0.2874568698762868,0.9857299527405292,0.9857299527405292,1.0,label-label,0.426,0.25,0.65,0.1,0.2464324881851323,0.65,0.0426,0.9390324881851323,0.2624323346484127,0.6922018228104704,0.045365842541116974,1,high,,,
128,Holt,,53.079,-2.881,70,97,0.557,10,13,821460578,https://pleiades.stoa.org/places/821460578,Unnamed Roman Villa,,53.0853056,-2.888443,43.0,410.0,precise,20.0,0.8595061703322995,0.8395061703322995,0.9588934567820391,0.33561270987371367,0.15,label-label,0.557,0.25,0.65,0.1,0.08390317746842842,0.0975,0.055700000000000006,0.23710317746842843,0.3538677902349098,0.4112133841520646,0.23491882561302563,1,low,,,
129,Holzhausen,,50.214881,7.947468,179,234,0.663,14,18,109050,https://pleiades.stoa.org/places/109050,Holzhausen,,50.2149683,7.9480079,-30.0,300.0,precise,20.0,0.03962395340988967,0.019623953409889667,0.9990192835465372,0.9990192835465372,1.0,label-label,0.663,0.25,0.65,0.1,0.2497548208866343,0.65,0.06630000000000001,0.9660548208866344,0.2585306915164629,0.6728396628707233,0.06862964561281377,1,high,,,
