samian_id,samian_label,samian_alt_labels,samian_lat,samian_lon,samian_earliest_year,samian_latest_year,samian_q_interval,samian_unc_start_years,samian_unc_end_years,pleiades_id,pleiades_uri,pleiades_label,pleiades_alt_labels,pleiades_lat,pleiades_lon,pleiades_earliest_year,pleiades_latest_year,pleiades_location_precision,pleiades_max_accuracy_m,distance_km,distance_eff_km,geo_score,string_score,time_score,w_geo,w_str,w_time,geo_contrib,string_contrib,time_contrib,final_score,geo_rel,string_rel,time_rel,rank,confidence
44,Butzbach,,50.439681,8.665183,78,110,0.276,25,32,118588,https://pleiades.stoa.org/places/118588,Bad Nauheim,,50.360605,8.735747,-30.0,300.0,precise,10.0,10.11577458333251,10.10577458333251,0.6033313509182526,0.15,0.07443636363636365,0.5,0.4,0.1,0.3016656754591263,0.06,0.007443636363636365,0.3691093118227627,0.8172800463077421,0.16255347150063376,0.020166482191624084,5,low
44,Butzbach,,50.439681,8.665183,78,110,0.276,25,32,118681,https://pleiades.stoa.org/places/118681,Friedberg,,50.336719,8.753676,-30.0,300.0,precise,10.0,13.05515752073487,13.04515752073487,0.5208683918064145,0.15,0.07443636363636365,0.5,0.4,0.1,0.26043419590320727,0.06,0.007443636363636365,0.32787783226684364,0.7943025428179991,0.18299498805753037,0.02270246912447059,6,low
44,Butzbach,,50.439681,8.665183,78,110,0.276,25,32,109074,https://pleiades.stoa.org/places/109074,Kapersburg,Kapersburg|Kastell Kapersburg,50.31301504808457,8.635684199754634,,,precise,20.0,14.239126982478183,14.219126982478183,0.49117423872158145,0.15,0.0,0.5,0.4,0.1,0.24558711936079072,0.06,0.0,0.30558711936079075,0.8036566458510931,0.19634335414890683,0.0,7,low
44,Butzbach,,50.439681,8.665183,78,110,0.276,25,32,109009,https://pleiades.stoa.org/places/109009,Giessen,,50.584003,8.678255,-30.0,300.0,precise,10.0,16.07449439170637,16.06449439170637,0.4478823379418619,0.15,0.07443636363636365,0.5,0.4,0.1,0.22394116897093094,0.06,0.007443636363636365,0.2913848053345673,0.7685409975781073,0.2059132765385901,0.02554572588330267,8,low
44,Butzbach,,50.439681,8.665183,78,110,0.276,25,32,118657,https://pleiades.stoa.org/places/118657,Echzell,Echzell,50.391956,8.8840215,-30.0,300.0,precise,10.0,16.388714091948923,16.378714091948922,0.44090065342345447,0.15,0.07443636363636365,0.5,0.4,0.1,0.22045032671172723,0.06,0.007443636363636365,0.2878939630753636,0.7657344542998241,0.2084100665365236,0.02585547916365236,9,low
44,Butzbach,,50.439681,8.665183,78,110,0.276,25,32,118760,https://pleiades.stoa.org/places/118760,Inheiden,,50.4594675,8.9004935,-30.0,300.0,precise,10.0,16.80562010891766,16.795620108917657,0.4318050760355408,0.15,0.07443636363636365,0.5,0.4,0.1,0.2159025380177704,0.06,0.007443636363636365,0.2833461743814068,0.7619744240031565,0.2117551088557672,0.026270467141076097,10,low
44,Butzbach,,50.439681,8.665183,78,110,0.276,25,32,109097,https://pleiades.stoa.org/places/109097,Lahnau-Dorlar,,50.580496499999995,8.5656765,-30.0,300.0,precise,10.0,17.166374891801123,17.15637489180112,0.42408611430760695,0.15,0.07443636363636365,0.5,0.4,0.1,0.21204305715380348,0.06,0.007443636363636365,0.2794866935174399,0.7586874869968436,0.214679272364915,0.02663324063824128,11,low
44,Butzbach,,50.439681,8.665183,78,110,0.276,25,32,109098,https://pleiades.stoa.org/places/109098,Lahnau-Waldgirmes,,50.5874185,8.546728000000002,-30.0,300.0,precise,10.0,18.43968855180589,18.42968855180589,0.3979279072808826,0.15,0.07443636363636365,0.5,0.4,0.1,0.1989639536404413,0.06,0.007443636363636365,0.2664075900040777,0.746840409604681,0.22521880851473347,0.027940781880585425,12,low
44,Butzbach,,50.439681,8.665183,78,110,0.276,25,32,889344376,https://pleiades.stoa.org/places/889344376,Römisches Forum Waldgirmes,,50.58875836285238,8.54127464791886,,,precise,20.0,18.749537374400315,18.729537374400316,0.3920064956787083,0.15,0.0,0.5,0.4,0.1,0.19600324783935416,0.06,0.0,0.25600324783935413,0.7656279734480131,0.23437202655198694,0.0,13,low
44,Butzbach,,50.439681,8.665183,78,110,0.276,25,32,118887,https://pleiades.stoa.org/places/118887,Oberflorstadt,,50.3250575,8.876639,-30.0,300.0,precise,10.0,19.67857246908491,19.668572469084907,0.37402650187332187,0.15,0.07443636363636365,0.5,0.4,0.1,0.18701325093666094,0.06,0.007443636363636365,0.2544568873002973,0.734950635138271,0.23579632933727981,0.029253035524449206,14,low
