"id","label","altlabels","lon","lat","earliest_year","latest_year","q_start","q_end","q_interval","unc_start_years","unc_end_years","unc_interval_years"
182,"Papcastle",,"-3.380827","54.670497",170,200,"0.500","0.500","0.500",0,0,0
183,"Pen Llystyn",,"-4.2697","52.9837",60,90,"0.500","0.500","0.500",0,0,0
184,"Penydarren",,"-3.3705","51.7581",70,95,"0.500","0.500","0.500",0,0,0
185,"Pforzheim",,"8.699999","48.883335",90,125,"0.500","0.500","0.500",0,0,0
186,"Pfünz",,"11.263661","48.883931",71,106,"0.559","0.655","0.174",42,45,61
187,"Piercebridge",,"-1.683333","54.533332",158,201,"0.966","0.939","0.727",5,13,14
188,"Pompeii",,"14.483329","40.75",55,83,"0.791","0.883","0.557",13,10,16
189,"Pudding Pan Rock",,"1.1","51.349998",162,199,"0.944","0.961","0.720",9,8,12
190,"Regensburg",,"12.09556","49.014999",96,130,"0.611","0.614","0.102",47,64,79
191,"Rheingönheim",,"8.41944","49.44514",43,71,"0.798","0.892","0.639",10,8,13
192,"Ribchester","Bremetennacum Veteranorum","-2.533333","53.799999",64,91,"0.872","0.908","0.628",9,9,12
193,"Rinschheim",,"9.39361","49.514442",155,180,"0.500","0.500","0.500",0,0,0
194,"Rißtissen",,"9.82587","48.27099",65,95,"0.500","0.500","0.500",0,0,0
195,"Roecliffe",,"-1.427329","54.087303",57,83,"0.903","0.966","0.785",6,3,6
196,"Rottenburg am Neckar",,"8.933333","48.466667",73,103,"0.848","0.901","0.582",12,11,16
197,"Rottweil","Arae Flaviae","8.62719","48.16783",70,98,"0.706","0.748","0.260",24,28,37
198,"Rough Castle",,"-3.854519","55.997688",133,157,"0.910","0.907","0.428",13,15,20
199,"Rougham",,"0.69727","52.755577",145,175,"0.500","0.500","0.500",0,0,0
200,"Saalburg",,"8.566659","50.271522",90,120,"0.727","0.772","0.241",29,31,42
201,"Schirenhof",,"9.777356","48.786795",154,187,"0.886","0.867","0.375",19,27,33
202,"South Shields",,"-1.4323","54.99859",152,187,"0.907","0.904","0.505",15,19,24
203,"Southwark",,"-0.089161","51.5",65,89,"0.630","0.691","0.152",30,33,44
204,"Stamford Bridge",,"-0.913611","53.990833",65,90,"0.500","0.500","0.500",0,0,0
205,"Stanwix",,"-2.933332","54.900001",138,172,"0.901","0.886","0.468",14,21,25
206,"Stockstadt",,"9.064167","49.976943",68,98,"0.889","0.893","0.634",8,11,14
207,"Strageath",,"-3.782971","56.341598",106,135,"0.672","0.677","0.096",42,53,68
208,"Straubing",,"12.56667","48.816669",71,97,"0.754","0.775","0.303",20,25,32
209,"Sulz",,"8.3","48.366661",67,91,"0.910","0.902","0.620",6,9,11
210,"Tác","Gorsium/Herculia","18.420326","47.089804",155,189,"0.896","0.883","0.423",17,24,29
211,"Templeborough",,"-1.383332","53.416671",67,92,"0.917","0.920","0.682",6,8,10
212,"Theilenhofen",,"11.85","49.083333",80,100,"0.500","0.500","0.500",0,0,0
213,"Topsham",,"-3.45","50.68333",45,90,"0.500","0.500","0.500",0,0,0
214,"Torre Annunziata",,"14.449999","40.75",58,85,"0.832","0.920","0.629",11,7,13
215,"Trier","Colonia Augusta Treverorum","6.633333","49.75",184,224,"0.930","0.936","0.611",13,15,20
216,"Unknown",,"0","0",70,100,"0.500","0.500","0.500",0,0,0
217,"Unknown",,"1.133333","51.366664",175,200,"0.500","0.500","0.500",0,0,0
218,"Unknown",,"NULL","NULL",160,185,"0.500","0.500","0.500",0,0,0
219,"Urspring",,"9.716667","48.383338",103,125,"0.596","0.673","0.040",53,49,73
220,"Valkenburg","Praetorium Agrippinae","4.433332","52.18333",47,74,"0.696","0.750","0.367",17,21,27
221,"Vaspuszta",,"17.908611","47.721389",170,200,"0.500","0.500","0.500",0,0,0
222,"Velsen","Flevum","4.633333","52.46667",26,55,"0.735","0.809","0.606",8,12,14
223,"Verulamium",,"-0.333333","51.75",88,119,"0.598","0.694","0.132",45,43,63
224,"Waddon Hill",,"-2.78625","50.8104",33,63,"0.828","0.957","0.800",6,3,7
225,"Walheim",,"9.15111","49.014167",73,113,"0.436","0.550","0.105",60,67,90
226,"Walldürn",,"9.386719","49.57857",163,195,"0.937","0.897","0.482",11,21,24
227,"Wallsend",,"-1.523298","54.988491",149,184,"0.875","0.886","0.426",20,22,30
228,"Watercrook","Alone?/Alauna?","-2.748589","54.309425",74,98,"0.895","0.894","0.565",8,11,14
229,"Weissenburg",,"10.9624","49.030803",71,98,"0.891","0.918","0.648",8,8,12
230,"Welzheim",,"9.649999","48.883338",151,189,"0.910","0.885","0.489",14,23,27
231,"Wiesbaden","Aquae Mattiacorum","8.25","50.083328",93,123,"0.440","0.505","0.022",77,84,114
232,"Wilderspool",,"-2.586209","53.369159",74,102,"0.885","0.903","0.611",9,10,14
233,"Wimborne",,"-2.014188","50.79",39,68,"0.840","0.904","0.718",7,7,10
234,"Wössingen",,"8.601388","49.016109",150,175,"0.500","0.500","0.500",0,0,0
235,"Wroxeter",,"-2.65","52.666671",128,161,"0.728","0.756","0.157",41,45,60
236,"York","Eburacum","-1.083333","53.96667",64,92,"0.711","0.738","0.280",22,28,35
237,"Zalalövő","Municipium Aelium Salla","16.585281","46.848333",140,170,"0.500","0.500","0.500",0,0,0
238,"Zugmantel",,"8.203443","50.189704",102,136,"0.569","0.635","0.084",58,62,85
239,"Zurzach",,"8.18","47.349998",33,62,"0.785","0.885","0.685",8,8,11
240,"Zwammerdam",,"4.733333","52.099998",103,138,"0.586","0.621","0.086",55,66,86
